DataExtractDate,ReportPeriod,Terminal,Arrival_Departure,Domestic_International,Passenger_Count
05/01/2014 12:00:00 AM,04/01/2006 12:00:00 AM,Terminal 4,Arrival,International,66472
05/01/2014 12:00:00 AM,04/01/2006 12:00:00 AM,Terminal 4,Departure,Domestic,413701
05/01/2014 12:00:00 AM,04/01/2006 12:00:00 AM,Terminal 4,Departure,International,45322
05/01/2014 12:00:00 AM,04/01/2006 12:00:00 AM,Terminal 5,Arrival,Domestic,156099
05/01/2014 12:00:00 AM,04/01/2006 12:00:00 AM,Terminal 5,Arrival,International,28977
05/01/2014 12:00:00 AM,04/01/2006 12:00:00 AM,Terminal 5,Departure,Domestic,158133
05/01/2014 12:00:00 AM,04/01/2006 12:00:00 AM,Terminal 5,Departure,International,28241
05/01/2014 12:00:00 AM,04/01/2006 12:00:00 AM,Terminal 6,Arrival,Domestic,211819
05/01/2014 12:00:00 AM,04/01/2006 12:00:00 AM,Terminal 6,Arrival,International,9870
05/01/2014 12:00:00 AM,04/01/2006 12:00:00 AM,Terminal 6,Departure,Domestic,223222
05/01/2014 12:00:00 AM,04/01/2006 12:00:00 AM,Terminal 6,Departure,International,5810
05/01/2014 12:00:00 AM,04/01/2006 12:00:00 AM,Terminal 7,Arrival,Domestic,269491
05/01/2014 12:00:00 AM,04/01/2006 12:00:00 AM,Terminal 7,Arrival,International,33734
05/01/2014 12:00:00 AM,04/01/2006 12:00:00 AM,Terminal 7,Departure,Domestic,270784
05/01/2014 12:00:00 AM,04/01/2006 12:00:00 AM,Terminal 7,Departure,International,39491
05/01/2014 12:00:00 AM,04/01/2006 12:00:00 AM,Terminal 8,Arrival,Domestic,111821
05/01/2014 12:00:00 AM,04/01/2006 12:00:00 AM,Terminal 8,Departure,Domestic,108348
05/01/2014 12:00:00 AM,04/01/2006 12:00:00 AM,Tom Bradley International Terminal,Arrival,Domestic,2021
05/01/2014 12:00:00 AM,04/01/2006 12:00:00 AM,Tom Bradley International Terminal,Arrival,International,412808
05/01/2014 12:00:00 AM,04/01/2006 12:00:00 AM,Tom Bradley International Terminal,Departure,International,338863
05/01/2014 12:00:00 AM,05/01/2006 12:00:00 AM,Imperial Terminal,Arrival,Domestic,210
05/01/2014 12:00:00 AM,05/01/2006 12:00:00 AM,Imperial Terminal,Arrival,International,54
05/01/2014 12:00:00 AM,05/01/2006 12:00:00 AM,Imperial Terminal,Departure,Domestic,229
